"title","author","year"
"Practical Node.js: Building Real-World Scalable Web Apps","Mardan, Azat","2018"
"Node.js for PHP Developers: Porting PHP to Node.js","Howard, Daniel","2013"
"Full Stack JavaScript: Learn Backbone.js, Node.js and MongoDB","Mardan, Azat","2015"
"Get Programming with Node.js","Wexler, Jonathan","2019"
"Building APIs with Node.js","Pereira, Caio Ribeiro","2016"
"Essential Node.js Security","Tal, Liran","2018"
"Node Cookbook: Discover solutions, techniques, and best practices for server-side web development with Node.js 14","Griggs, Bethany","2020"
"Building Scalable Apps with Redis and Node.js","Johanan, Joshua","2014"
"Supercharging Node.js Applications with Sequelize: Create high-quality Node.js apps effortlessly while interacting with your SQL database","Durante, Daniel","2022"
"Node.js Web Development: Create real-time server-side applications with this practical, step-by-step guide, 3rd Edition","Herron, David","2016"